"Doctors Full Name","Doctor ID","Hospital Branch","Total Appointments","Total Treatment Cost","Doctor Phone Number"
"David Taylor",D001,Dermatology,6,18234.15,8322010158
"Robert Davis",D007,Oncology,5,17479.420000000002,8217493115
"Alex Davis",D006,Pediatrics,5,17189.78,6570137231
"Jane Davis",D002,Pediatrics,5,14641.51,9004382050
"Linda Brown",D008,Dermatology,4,12268.14,9069162601
"Jane Smith",D003,Pediatrics,6,11838.4,8737740598
"David Jones",D004,Pediatrics,3,9905.86,6594221991
"Linda Wilson",D010,Oncology,5,9381.52,6176383634
"Sarah Taylor",D005,Dermatology,4,8744.7,9118538547
"Sarah Smith",D009,Pediatrics,3,4416.98,7387087517
