"Doctor Full Name","Doctor ID","Hospital Branch","Total Appointments","Total Treatments","Total Treatment Revenue"
"Sarah Taylor",D005,Dermatology,29,29,82696.48
"Alex Davis",D006,Pediatrics,24,24,69586.1
"David Taylor",D001,Dermatology,25,25,66585.39
"Jane Davis",D002,Pediatrics,21,21,59803.46
"Linda Brown",D008,Dermatology,16,16,53427.42
"Jane Smith",D003,Pediatrics,22,22,52791.41
"Linda Wilson",D010,Oncology,19,19,49436.23
"Robert Davis",D007,Oncology,13,13,40166.5
"David Jones",D004,Pediatrics,14,14,39315.95
"Sarah Smith",D009,Pediatrics,17,17,37440.91
